movieId,actor,director
1,Tom Hanks|Tim Allen|Don Rickles,John Lasseter
2,Robin Williams|Kirsten Dunst|Bonnie Hunt,Joe Johnston
3,Walter Matthau|Jack Lemmon|Ann-Margret,Howard Deutch
4,,
5,Steve Martin|Diane Keaton|Martin Short,Charles Shyer
6,Al Pacino|Robert De Niro|Val Kilmer,Michael Mann
7,Harrison Ford|Julia Ormond|Greg Kinnear,Sydney Pollack
8,Jonathan Taylor Thomas|Brad Renfro|Charles Rocket,Peter Hewitt
9,,
10,,
11,Michael Douglas|Annette Bening|Martin Sheen,Rob Reiner
12,Leslie Nielsen|Mel Brooks|Peter MacNicol,Mel Brooks
13,Kevin Bacon|Bob Hoskins|Bridget Fonda,Simon Wells
14,,
15,Geena Davis|Matthew Modine|Frank Langella,Renny Harlin
17,Emma Thompson|Kate Winslet|James Fleet,Ang Lee
18,Tim Roth|Antonio Banderas|Sammi Davis,Allison Anders|Alexandre Rockwell|Robert Rodriguez
19,Jim Carrey|Ian McNeice|Simon Callow,Steve Oedekerk
20,Wesley Snipes|Woody Harrelson|Jennifer Lopez,Joseph Ruben
21,,
22,Sigourney Weaver|Holly Hunter|Dermot Mulroney,Jon Amiel
23,,
24,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen,Victor Salva
25,,
26,,
27,Christina Ricci|Demi Moore|Rosie O&apos;Donnell,Lesli Linka Glatter
28,Amanda Root|Ciarán Hinds|Susan Fleetwood,Roger Michell
29,,
30,Gong Li|Baotian Li|Xiaoxiao Wang,Yimou Zhang
31,,
32,Bruce Willis|Madeleine Stowe|Brad Pitt,Terry Gilliam
33,Craig Sheffer|Elizabeth McGovern|Tom Hulce,Jean-Jacques Annaud
34,James Cromwell|Magda Szubanski|Christine Cavanaugh,Chris Noonan
35,Emma Thompson|Jonathan Pryce|Steven Waddington,Christopher Hampton
36,,
37,Peter Reznick|John McDonough|Avi Hoffman,Stephen Low
38,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen,Andy Tennant
39,Alicia Silverstone|Stacey Dash|Brittany Murphy,Amy Heckerling
40,Richard Harris|James Earl Jones|Vusi Kunene,Darrell Roodt
41,Ian McKellen|Annette Bening|Christopher Bowen,Richard Loncraine
42,Larenz Tate|Keith David|Chris Tucker,Albert Hughes|Allen Hughes
43,Robert Downey Jr.|Sam Neill|David Thewlis,Michael Hoffman
44,Christopher Lambert|Robin Shou|Linden Ashby,Paul W.S. Anderson
45,Nicole Kidman|Matt Dillon|Joaquin Phoenix,Gus Van Sant
46,Winona Ryder|Ellen Burstyn|Anne Bancroft,Jocelyn Moorhouse
47,Morgan Freeman|Brad Pitt|Kevin Spacey,David Fincher
48,Mel Gibson|Linda Hunt|Christian Bale,Mike Gabriel|Eric Goldberg
49,Pascale Bussières|Rachael Crawford|Henry Czerny,Patricia Rozema
50,Kevin Spacey|Gabriel Byrne|Chazz Palminteri,Bryan Singer
51,Cynthia Rothrock|Daniel McVicar|Lydie Denier,Richard W. Munchkin
52,Woody Allen|Mira Sorvino|Pamela Blair,Woody Allen
53,Enrico Lo Verso|Michele Placido|Piro Milkani,Gianni Amelio
54,Steve Guttenberg|Olivia d&apos;Abo|Jay O. Sanders,Holly Goldberg Sloan
55,Jennifer Jason Leigh|Mare Winningham|Ted Levine,Ulu Grosbard
56,Johnny Morina|Maggie Castle|Christopher Olscamp,Robert Tinnell
57,,
58,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta,Michael Radford|Massimo Troisi
59,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette,Robert Lepage
60,Hal Scardino|Litefoot|Lindsay Crouse,Frank Oz
61,Sally Field|Kiefer Sutherland|Ed Harris,John Schlesinger
62,,
63,Shawn Wayans|Marlon Wayans|Keenen Ivory Wayans,Paris Barclay
64,Sandra Bullock|Denis Leary|Stephen Dillane,Bill Bennett
65,Pauly Shore|Stephen Baldwin|William Atherton,Jason Bloom
66,Patrick Bergin|Matt Frewer|Austin O&apos;Brien,Farhad Mann
67,Al Pacino|Mary Elizabeth Mastrantonio|Jerry Barone,James Foley
68,Victoria Abril|Josiane Balasko|Alain Chabat,Josiane Balasko
69,Ice Cube|Chris Tucker|Nia Long,F. Gary Gray
70,Harvey Keitel|George Clooney|Juliette Lewis,Robert Rodriguez
71,William Baldwin|Cindy Crawford|Steven Berkoff,Andrew Sipes
72,Josh Hamilton|Eric Stoltz|Samuel Gould,Noah Baumbach
73,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines,Claude Lelouch
74,Christian Slater|Mary Stuart Masterson|Pamela Adlon,Michael Goldenberg
75,Rick Moranis|Tom Arnold|Julianne Phillips,Steve Miner
76,Peter Weller|Roy Dupuis|Jennifer Rubin,Christian Duguay
77,Nico|Tina Aumont|Christian Päffgen,Susanne Ofteringer
78,Jack Nicholson|David Morse|Anjelica Huston,Sean Penn
79,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt,Brian Gibson
80,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy,Jafar Panahi
81,Andy Garcia|Christopher Walken|Christopher Lloyd,Gary Fleder
82,,
83,Al Freeman Jr.|Phylicia Rashad|Leon,Tim Reid
84,Victoria Foyt|Viveca Lindfors|Jon Robin Baitz,Henry Jaglom
85,,
86,Jeff Bridges|Caroline Goodall|John Savage,Ridley Scott
87,Jason Alexander|Faye Dunaway|Eric Lloyd,Ken Kwapis
88,,
89,Johnny Depp|Christopher Walken|Courtney Chase,John Badham
90,,
92,Julia Roberts|John Malkovich|George Cole,Stephen Frears
93,Eddie Murphy|Angela Bassett|Allen Payne,Wes Craven
94,Matt Dillon|Timothy Hutton|Noah Emmerich,Ted Demme
95,,
96,Michael Maloney|Richard Briers|Hetta Charnley,Kenneth Branagh
97,Vincent Cassel|Hubert Koundé|Saïd Taghmaoui,Mathieu Kassovitz
98,Sadie Frost|Jude Law|Sean Pertwee,Paul W.S. Anderson
99,Nick Broomfield|Nina Xining Zuo|Madam Alex,Nick Broomfield
100,Al Pacino|John Cusack|Bridget Fonda,Harold Becker
101,Luke Wilson|Owen Wilson|Ned Dowd,Wes Anderson
102,,
103,,
104,Adam Sandler|Christopher McDonald|Julie Bowen,Dennis Dugan
105,Clint Eastwood|Meryl Streep|Annie Corley,Clint Eastwood
106,,
107,Tim Curry|Billy Connolly|Jennifer Saunders,Brian Henson
108,Christy Turlington|Azzedine Alaïa|Giorgio Armani,Robert Leacock
109,Raymond J. Barry|Rustam Branaman|Jennifer MacDonald,James Bruce
110,Mel Gibson|Sophie Marceau|Patrick McGoohan,Mel Gibson
111,Robert De Niro|Jodie Foster|Cybill Shepherd,Martin Scorsese
112,Jackie Chan|Anita Mui|Françoise Yip,Stanley Tong
113,Meryl Streep|Liam Neeson|Edward Furlong,Barbet Schroeder
114,Helena Bonham Carter|Kate Nelligan|Clive Russell,Mort Ransen
115,Michel Serrault|Eddy Mitchell|Sabine Azéma,Étienne Chatiliez
116,Kenneth Branagh|Glenn Close|Isa Baschwitz,Jon Blair
117,Hugh O&apos;Conor|Antony Sher|Tobias Arnold,Benjamin Ross
118,,
119,,
120,Halle Berry|Jim Belushi|Bill Hunter,Charles T. Kanganis
121,,
122,,
123,Brigitte Lin|Takeshi Kaneshiro|Tony Leung Chiu-wai,Kar-Wai Wong
124,Sergio Castellitto|Tiziana Lodato|Franco Scaldati,Giuseppe Tornatore
125,,
126,Jason James Richter|Melody Kay|Jack Black,Peter MacDonald
127,Hind Sabri|Ghalya Lacroix|Nejia Ouerghi,Moufida Tlatli
128,Maggie Cogan|Katina Commings,Michel Negroponte
129,,
130,Miranda Rhyne|Charlotte Eve Blythe|Anna Thomson,Rebecca Miller
131,Matt Dillon|Anne Parillaud|Gabriel Byrne,Michael Lindsay-Hogg
132,,
133,Luisito Martí|Caridad Ravelo|Raúl Carbonell,Ángel Muñiz
134,Lloyd Dunn|Chris Grigg|Mark Hosler,Craig Baldwin
135,Kelsey Grammer|Lauren Holly|Rob Schneider,David S. Ward
136,,
137,,
138,Jacob Tierney|Drake Bell|Gena Rowlands,Terence Davies
139,Champa|Om Puri|Mohan Agashe,Sandip Ray
140,Robert Redford|Michelle Pfeiffer|Stockard Channing,Jon Avnet
141,Robin Williams|Nathan Lane|Gene Hackman,Mike Nichols
142,Rafal Synówka|Jerzy Binczycki|Marzena Trybala,Jerzy Kaszubowski
143,Martin Sheen|Michael York|Morgan Fairchild,Jakov Sedlar
144,,
145,Will Smith|Martin Lawrence|Lisa Boyle,Michael Bay
146,Stephen Lang|Ryan Slater|Yi Ding,Christopher Cain
147,Leonardo DiCaprio|Lorraine Bracco|Marilyn Sokol,Scott Kalvert
148,Hugh Grant|Alan Rickman|Georgina Cates,Mike Newell
149,Isabelle Huppert|Martin Donovan|Elina Löwensohn,Hal Hartley
150,Tom Hanks|Bill Paxton|Kevin Bacon,Ron Howard
151,Liam Neeson|Jessica Lange|John Hurt,Michael Caton-Jones
152,Lili Taylor|Christopher Walken|Annabella Sciorra,Abel Ferrara
153,Val Kilmer|Tommy Lee Jones|Jim Carrey,Joel Schumacher
154,Catherine Deneuve|Jean Sorel|Michel Piccoli,Luis Buñuel
155,Patricia Arquette|U Aung Ko|Frances McDormand,John Boorman
156,Harvey Keitel|Lou Reed|Michael J. Fox,Paul Auster|Wayne Wang|Harvey Wang
157,John Candy|Alan Alda|Rhea Perlman,Michael Moore
158,Bill Pullman|Christina Ricci|Cathy Moriarty,Brad Silberling
159,Harvey Keitel|John Turturro|Delroy Lindo,Spike Lee
160,Laura Linney|Tim Curry|Dylan Walsh,Frank Marshall
161,,
162,Robert Crumb|Aline Kominsky-Crumb|Charles Crumb,Terry Zwigoff
163,Antonio Banderas|Salma Hayek|Joaquim de Almeida,Robert Rodriguez
164,Denzel Washington|Tom Sizemore|Jennifer Beals,Carl Franklin
165,Bruce Willis|Jeremy Irons|Samuel L. Jackson,John McTiernan
166,James Duval|Rose McGowan|Johnathon Schaech,Gregg Araki
167,Embeth Davidtz|Tom Bell|Gemma Jones,Christopher Menaul
168,Sean Connery|Richard Gere|Julia Ormond,Jerry Zucker
169,Jason James Richter|Michael Madsen|Francis Capra,Dwight H. Little
170,,
171,Steven Weber|Michael T. Weiss|Peter Jacobson,Christopher Ashley
172,Keanu Reeves|Dolph Lundgren|Dina Meyer,Robert Longo
173,Sylvester Stallone|Armand Assante|Rob Schneider,Danny Cannon
174,Pauly Shore|Tia Carrere|Stanley Tucci,John Fortenberry
175,,
176,Steve Buscemi|Catherine Keener|Dermot Mulroney,Tom DiCillo
177,Scott Bakula|Kevin J. O&apos;Connor|J. Trevor Edmond,Clive Barker
178,Thomas Gibson|Ruth Marshall|Cameron Bancroft,Denys Arcand
179,Chris O&apos;Donnell|Drew Barrymore|Matthew Lillard,Antonia Bird
180,Shannen Doherty|Jeremy London|Jason Lee,Kevin Smith
181,Karan Ashley|Johnny Yong Bosch|Steve Cardenas,Bryan Spicer
182,Elizabeth Perkins|Whoopi Goldberg|Kathleen Turner,David Anspaugh
183,,
184,Elina Löwensohn|Peter Fonda|Nic Ratner,Michael Almereyda
185,Sandra Bullock|Jeremy Northam|Dennis Miller,Irwin Winkler
186,Hugh Grant|Julianne Moore|Tom Arnold,Chris Columbus
187,Parker Posey|Omar Townsend|The Lady Bunny,Daisy von Scherler Mayer
188,Christopher Walken|Elias Koteas|Virginia Madsen,Gregory Widen
189,Mia Farrow|Tony Goldwyn|Juana Barrios,Norman René
190,Julianne Moore|Xander Berkeley|Dean Norris,Todd Haynes
191,,
192,Craig Mack|Dr. Dre|Afrika Bambaataa,Brian Robbins
193,Elizabeth Berkley|Kyle MacLachlan|Gina Gershon,Paul Verhoeven
194,Harvey Keitel|William Hurt|Giancarlo Esposito,Wayne Wang
195,Julia Roberts|Dennis Quaid|Robert Duvall,Lasse Hallström
196,Natasha Henstridge|Michael Madsen|Ben Kingsley,Roger Donaldson
197,Robert Duvall|Aidan Quinn|Frances Fisher,James Keach
198,Ralph Fiennes|Angela Bassett|Juliette Lewis,Kathryn Bigelow
199,Catherine Deneuve|Nino Castelnuovo|Anne Vernon,Jacques Demy
200,Daryl Hannah|Keith Carradine|Moira Kelly,Wesley Strick
201,Patrick Swayze|Mary Elizabeth Mastrantonio|Joseph Mazzello,Martha Coolidge
202,Leonardo DiCaprio|David Thewlis|Romane Bohringer,Agnieszka Holland
203,Wesley Snipes|Patrick Swayze|John Leguizamo,Beeban Kidron
204,Steven Seagal|Eric Bogosian|Everett McGill,Geoff Murphy
205,Andie MacDowell|John Turturro|Michael Richards,Diane Keaton
206,Isaac Mizrahi|Roseanne Barr|Sandra Bernhard,Douglas Keeve
207,,
208,Kevin Costner|Jeanne Tripplehorn|Dennis Hopper,Kevin Reynolds
209,,
210,Jeff Bridges|Ellen Barkin|John Hurt,Walter Hill
211,,
212,Daniel Stern|Jon Polito|Brad Sullivan,Greg Beeman
213,Nikita Mikhalkov|Ingeborga Dapkunaite|Oleg Menshikov,Nikita Mikhalkov
214,,
215,Ethan Hawke|Julie Delpy|Andrea Eckert,Richard Linklater
216,Adam Sandler|Darren McGavin|Bridgette Wilson-Sampras,Tamra Davis
217,Alicia Silverstone|Jeremy London|J.T. Walsh,Guy Ferland
218,Whoopi Goldberg|Mary-Louise Parker|Drew Barrymore,Herbert Ross
219,Joseph Mazzello|Brad Renfro|Aeryk Egan,Peter Horton
220,Jeffrey Combs|Barbara Crampton|Jonathan Fuller,Stuart Gordon
222,Chris O&apos;Donnell|Minnie Driver|Geraldine O&apos;Rawe,Pat O&apos;Connor
223,Brian O&apos;Halloran|Jeff Anderson|Marilyn Ghigliotti,Kevin Smith
224,Johnny Depp|Marlon Brando|Faye Dunaway,Jeremy Leven
225,,
226,Patsy Kensit|Bruce Greenwood|Andrew McCarthy,René Bonnière
227,Wesley Snipes|Gary Busey|Yancy Butler,John Badham
228,,
229,Sigourney Weaver|Ben Kingsley|Stuart Wilson,Roman Polanski
230,Kathy Bates|Jennifer Jason Leigh|Christopher Plummer,Taylor Hackford
231,Jim Carrey|Jeff Daniels|Lauren Holly,Peter Farrelly|Bobby Farrelly
232,Sihung Lung|Kuei-Mei Yang|Wang Yu-wen,Ang Lee
233,Bruce Greenwood|Elias Koteas|Don McKellar,Atom Egoyan
234,Dana Delany|Dan Aykroyd|Rosie O&apos;Donnell,Garry Marshall
235,Johnny Depp|Martin Landau|Sarah Jessica Parker,Tim Burton
236,Meg Ryan|Kevin Kline|Timothy Hutton,Lawrence Kasdan
237,Billy Crystal|Debra Winger|Joe Mantegna,Billy Crystal
238,Jesse Bradford|Mimi Rogers|Bruce Davison,Phillip Borsos
239,,
240,Jeff Goldblum|Christine Lahti|Alicia Silverstone,Brett Leonard
241,Matthew Modine|Nancy Travis|Samuel L. Jackson,Carlo Carlei
242,Stefano Dionisi|Enrico Lo Verso|Elsa Zylberstein,Gérard Corbiau
243,,
244,Dal McKennon|Art Clokey|Gloria Clokey,Art Clokey
245,Michael Boatman|Lori Petty|Erich Anderson,Charles Burnett
246,William Gates|Arthur Agee|Emma Gates,Steve James
247,Melanie Lynskey|Kate Winslet|Sarah Peirse,Peter Jackson
248,Sinbad|Phil Hartman|Kim Greist,Randall Miller
249,Gary Oldman|Jeroen Krabbé|Isabella Rossellini,Bernard Rose
250,Tom McGowan|Aaron Schwartz|Ben Stiller,Steven Brill
251,Christopher Lambert|John Lone|Joan Chen,J.F. Lawton
252,Tim Robbins|Meg Ryan|Walter Matthau,Fred Schepisi
253,Brad Pitt|Tom Cruise|Antonio Banderas,Neil Jordan
254,,
255,,
256,Arnold Schwarzenegger|Danny DeVito|Emma Thompson,Ivan Reitman
257,Sean Connery|Laurence Fishburne|Kate Capshaw,Arne Glimcher
258,Thomas Ian Nicholas|Joss Ackland|Art Malik,Michael Gottlieb
259,David Caruso|Samuel L. Jackson|Nicolas Cage,Barbet Schroeder
260,,
261,Susan Sarandon|Winona Ryder|Kirsten Dunst,Gillian Armstrong
262,Liesel Matthews|Eleanor Bron|Liam Cunningham,Alfonso Cuarón
263,Crissy Rock|Vladimir Vega|Sandie Lavelle,Ken Loach
264,,
265,Marco Leonardi|Lumi Cavazos|Regina Torné,Alfonso Arau
266,Brad Pitt|Anthony Hopkins|Aidan Quinn,Edward Zwick
267,Damon Wayans|Michael Ironside|Bam Bam Bigelow,Nick Castle
268,Tim Roth|Edward Furlong|Moira Kelly,James Gray
269,Angel Aviles|Seidy Lopez|Jacob Vargas,Allison Anders
270,Warren Beatty|Annette Bening|Katharine Hepburn,Glenn Gordon Caron
271,Jessica Lange|Halle Berry|David Strathairn,Stephen Gyllenhaal
272,,
273,Robert De Niro|Kenneth Branagh|Helena Bonham Carter,Kenneth Branagh
274,Chevy Chase|Farrah Fawcett|Jonathan Taylor Thomas,James Orr
275,Steve Martin|Madeline Kahn|Robert Klein,Nora Ephron
276,,
277,Richard Attenborough|Elizabeth Perkins|Dylan McDermott,Les Mayfield
278,Sarah Jessica Parker|Mia Farrow|Antonio Banderas,David Frankel
279,Jimmy Smits|Esai Morales|Edward James Olmos,Gregory Nava
280,Christian Slater|Kevin Bacon|Gary Oldman,Marc Rocco
281,Paul Newman|Bruce Willis|Jessica Tandy,Robert Benton
282,Jodie Foster|Liam Neeson|Natasha Richardson,Michael Apted
283,Shar-Ron Corley|Gabriel Casseus|Saul Stein,Nick Gomez
284,Tôru Nakamura|Chad McQueen|Mira Sorvino,Tôru Murakawa
285,Craig Fairbrass|Elizabeth Hurley|Keith Allen,Vadim Jean
286,Sue Price|Chad Stahelski|Tina Cote,Albert Pyun
287,Laura San Giacomo|Paul Rhys|Michael O&apos;Keefe,Alan Jacobs
288,Woody Harrelson|Juliette Lewis|O-Lan Jones,Oliver Stone
289,Marisa Tomei|Robert Downey Jr.|Bonnie Hunt,Norman Jewison
290,Rena Owen|Temuera Morrison|Mamaengaroa Kerr-Bell,Lee Tamahori
291,Alyssa Milano|Johnathon Schaech|Xander Berkeley,Anne Goursaud
292,Dustin Hoffman|Rene Russo|Morgan Freeman,Wolfgang Petersen
293,Jean Reno|Gary Oldman|Natalie Portman,Luc Besson
294,,
295,William Baldwin|John Leguizamo|Sadie Frost,Joshua Brand
296,John Travolta|Uma Thurman|Samuel L. Jackson,Quentin Tarantino
297,Kadeem Hardison|Bokeem Woodbine|Joe Don Baker,Mario Van Peebles
298,Sihung Lung|Lai Wang|Bozhao Wang,Ang Lee
299,Linus Roache|Tom Wilkinson|Robert Carlyle,Antonia Bird
300,Ralph Fiennes|John Turturro|Rob Morrow,Robert Redford
301,Yûki Kudô|Akira Takayama|Cary-Hiroyuki Tagawa,Kayo Hatta
302,Isabelle Adjani|Daniel Auteuil|Jean-Hugues Anglade,Patrice Chéreau
303,,
304,,
305,Sophia Loren|Julia Roberts|Marcello Mastroianni,Robert Altman
306,Irène Jacob|Jean-Louis Trintignant|Frédérique Feder,Krzysztof Kieslowski
307,,
308,Zbigniew Zamachowski|Julie Delpy|Janusz Gajos,Krzysztof Kieslowski
309,Jing Ning|Gang Wu|Xiaorui Zhao,Ping He
310,Leslie Nielsen|Christopher Lloyd|Matt McCoy,Fred Gerber
311,Darlanne Fluegel|Martin Neufeld|James Brolin,George Mihalka
312,Al Franken|Laura San Giacomo|Vincent D&apos;Onofrio,Harold Ramis
313,,
314,Jeni Courtney|Eileen Colgan|Mick Lally,John Sayles
315,Sylvester Stallone|Sharon Stone|James Woods,Luis Llosa
316,Kurt Russell|James Spader|Jaye Davidson,Roland Emmerich
317,Tim Allen|Judge Reinhold|Wendy Crewson,John Pasquin
318,Tim Robbins|Morgan Freeman|Bob Gunton,Frank Darabont
319,Kerry Fox|Christopher Eccleston|Ewan McGregor,Danny Boyle
320,Dennis Haysbert|Mel Harris|Sab Shimono,Scott McGehee|David Siegel
321,Jorge Perugorría|Vladimir Cruz|Mirta Ibarra,Tomás Gutiérrez Alea|Juan Carlos Tabío
322,Kevin Spacey|Frank Whaley|Michelle Forbes,George Huang
324,Jack Thompson|Russell Crowe|John Polson,Geoff Burton|Kevin Dowling
325,Matt Frewer|Valerie Mahaffey|Lawrence Dane,Kelly Makin
326,You Ge|Gong Li|Ben Niu,Yimou Zhang
327,Lori Petty|Ice-T|Naomi Watts,Rachel Talalay
328,Billy Zane|William Sadler|Jada Pinkett Smith,Ernest R. Dickerson
329,Patrick Stewart|William Shatner|Malcolm McDowell,David Carson
330,Clarence Williams III|Corbin Bernsen|Joe Torry,Rusty Cundieff
331,Willem Dafoe|Miranda Richardson|Rosemary Harris,Brian Gilbert
332,,
333,,
334,Wallace Shawn|Phoebe Brand|George Gaynes,Louis Malle
335,Peter Gallagher|Elisabeth Shue|Alison Elliott,Steven Soderbergh
